mode: set
Shroud/crypto/aes.go:18.54,19.22 1 1
Shroud/crypto/aes.go:19.22,21.3 1 1
Shroud/crypto/aes.go:22.2,24.21 3 1
Shroud/crypto/aes.go:27.46,31.2 3 1
Shroud/crypto/aes.go:33.58,34.16 1 1
Shroud/crypto/aes.go:34.16,36.3 1 1
Shroud/crypto/aes.go:38.2,39.16 2 1
Shroud/crypto/aes.go:39.16,41.3 1 1
Shroud/crypto/aes.go:42.2,43.16 2 1
Shroud/crypto/aes.go:43.16,45.3 1 0
Shroud/crypto/aes.go:46.2,47.34 2 1
Shroud/crypto/aes.go:47.34,49.3 1 1
Shroud/crypto/aes.go:50.2,52.16 3 1
Shroud/crypto/aes.go:52.16,54.3 1 1
Shroud/crypto/aes.go:55.2,55.22 1 1
Shroud/crypto/aes.go:58.55,59.16 1 1
Shroud/crypto/aes.go:59.16,61.3 1 1
Shroud/crypto/aes.go:63.2,64.16 2 1
Shroud/crypto/aes.go:64.16,66.3 1 1
Shroud/crypto/aes.go:67.2,68.16 2 1
Shroud/crypto/aes.go:68.16,70.3 1 0
Shroud/crypto/aes.go:71.2,72.16 2 1
Shroud/crypto/aes.go:72.16,74.3 1 0
Shroud/crypto/aes.go:75.2,75.51 1 1
Shroud/crypto/gzip.go:12.38,18.2 5 1
Shroud/crypto/gzip.go:20.49,23.16 3 1
Shroud/crypto/gzip.go:23.16,25.3 1 1
Shroud/crypto/gzip.go:26.2,29.16 4 1
Shroud/crypto/gzip.go:29.16,31.3 1 1
Shroud/crypto/gzip.go:32.2,32.42 1 1
Shroud/crypto/gzip.go:32.42,34.3 1 1
Shroud/crypto/gzip.go:35.2,35.17 1 1
